
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0068
Snapshot 0002 | MRR 0.0010
Snapshot 0003 | MRR 0.0042
Snapshot 0004 | MRR 0.0010
Snapshot 0005 | MRR 0.2500
Snapshot 0006 | MRR 0.0011
Snapshot 0007 | MRR 0.0761
Snapshot 0008 | MRR 0.0852
Snapshot 0009 | MRR 0.0052
Snapshot 0010 | MRR 0.2143
Snapshot 0011 | MRR 0.0018
Snapshot 0012 | MRR 0.3760
Snapshot 0013 | MRR 0.1886
Snapshot 0014 | MRR 0.1628
Snapshot 0015 | MRR 0.1483
Snapshot 0016 | MRR 0.0375
Snapshot 0017 | MRR 0.0918
Snapshot 0018 | MRR 0.0502
Snapshot 0019 | MRR 0.0551
Snapshot 0020 | MRR 0.0758
Snapshot 0021 | MRR 0.1406
Snapshot 0022 | MRR 0.0933
Snapshot 0023 | MRR 0.1431
Snapshot 0024 | MRR 0.0756
Snapshot 0025 | MRR 0.0625
Snapshot 0026 | MRR 0.0944
Snapshot 0027 | MRR 0.0554
Snapshot 0028 | MRR 0.0140
Snapshot 0029 | MRR 0.0234
Snapshot 0030 | MRR 0.0591
Snapshot 0031 | MRR 0.0385
Snapshot 0032 | MRR 0.0111
Snapshot 0033 | MRR 0.0677
Snapshot 0034 | MRR 0.1067
Snapshot 0035 | MRR 0.0204
Snapshot 0036 | MRR 0.0635
Snapshot 0037 | MRR 0.0902
Snapshot 0038 | MRR 0.0819
Snapshot 0039 | MRR 0.1300
Snapshot 0040 | MRR 0.0456
Snapshot 0041 | MRR 0.1953
Snapshot 0042 | MRR 0.0270
Snapshot 0043 | MRR 0.0834
Snapshot 0044 | MRR 0.0476
Snapshot 0045 | MRR 0.0499
Snapshot 0046 | MRR 0.0315
Snapshot 0047 | MRR 0.0386
Snapshot 0048 | MRR 0.0072
Snapshot 0049 | MRR 0.0292
Snapshot 0050 | MRR 0.0870
Snapshot 0051 | MRR 0.0024
Snapshot 0052 | MRR 0.0669
Snapshot 0053 | MRR 0.0613
Snapshot 0054 | MRR 0.1189
Snapshot 0055 | MRR 0.0839
Snapshot 0056 | MRR 0.0930
Snapshot 0057 | MRR 0.0177
Snapshot 0058 | MRR 0.1728
Snapshot 0059 | MRR 0.0869
Snapshot 0060 | MRR 0.2222
Snapshot 0061 | MRR 0.0175
Snapshot 0062 | MRR 0.0862
Snapshot 0063 | MRR 0.0882
Snapshot 0064 | MRR 0.0190
Snapshot 0065 | MRR 0.0508
Snapshot 0066 | MRR 0.1089
Snapshot 0067 | MRR 0.0337
Snapshot 0068 | MRR 0.0615
Snapshot 0069 | MRR 0.1645
Snapshot 0070 | MRR 0.0764
Snapshot 0071 | MRR 0.0256
Snapshot 0072 | MRR 0.1881
Snapshot 0073 | MRR 0.0369
Snapshot 0074 | MRR 0.0552
Snapshot 0075 | MRR 0.0299
Snapshot 0076 | MRR 0.0628
Snapshot 0077 | MRR 0.1203
Snapshot 0078 | MRR 0.0616
Snapshot 0079 | MRR 0.0468
Snapshot 0080 | MRR 0.0200
Snapshot 0081 | MRR 0.0569
Snapshot 0082 | MRR 0.0631
Snapshot 0083 | MRR 0.0226
Snapshot 0084 | MRR 0.0428
Snapshot 0085 | MRR 0.0058
Snapshot 0086 | MRR 0.0451
Snapshot 0087 | MRR 0.0332
Snapshot 0088 | MRR 0.0729
Snapshot 0089 | MRR 0.0824
Snapshot 0090 | MRR 0.0434
Snapshot 0091 | MRR 0.0600
Snapshot 0092 | MRR 0.0571
Snapshot 0093 | MRR 0.0476
Snapshot 0094 | MRR 0.0340
Snapshot 0095 | MRR 0.1267
Snapshot 0096 | MRR 0.0543
Snapshot 0097 | MRR 0.0728
Snapshot 0098 | MRR 0.0809
Snapshot 0099 | MRR 0.0461
Snapshot 0100 | MRR 0.0279
Snapshot 0101 | MRR 0.0776
Snapshot 0102 | MRR 0.0216
Snapshot 0103 | MRR 0.0395
Snapshot 0104 | MRR 0.0264
Snapshot 0105 | MRR 0.1147
Snapshot 0106 | MRR 0.0050
Snapshot 0107 | MRR 0.1052
Snapshot 0108 | MRR 0.2117
Snapshot 0109 | MRR 0.0328
Snapshot 0110 | MRR 0.0257
Snapshot 0111 | MRR 0.0444
Snapshot 0112 | MRR 0.0270
Snapshot 0113 | MRR 0.0224
Snapshot 0114 | MRR 0.1053
Snapshot 0115 | MRR 0.0311
Snapshot 0116 | MRR 0.0661
Snapshot 0117 | MRR 0.0216
Snapshot 0118 | MRR 0.0325
Snapshot 0119 | MRR 0.0333
Snapshot 0120 | MRR 0.0900
Snapshot 0121 | MRR 0.0797
Snapshot 0122 | MRR 0.0179
Snapshot 0123 | MRR 0.0255
Snapshot 0124 | MRR 0.0900
Snapshot 0125 | MRR 0.0364
Snapshot 0126 | MRR 0.0751
Snapshot 0127 | MRR 0.0422
Snapshot 0128 | MRR 0.0406
Snapshot 0129 | MRR 0.0115
Snapshot 0130 | MRR 0.0182
Snapshot 0131 | MRR 0.0211
Snapshot 0132 | MRR 0.0347
Snapshot 0133 | MRR 0.0072
Snapshot 0134 | MRR 0.0706
Snapshot 0135 | MRR 0.0840
Snapshot 0136 | MRR 0.0181
Snapshot 0137 | MRR 0.0255
Snapshot 0138 | MRR 0.0077
Snapshot 0139 | MRR 0.0166
Snapshot 0140 | MRR 0.0323
Snapshot 0141 | MRR 0.0269
Snapshot 0142 | MRR 0.0394
Snapshot 0143 | MRR 0.3086
Snapshot 0144 | MRR 0.0529
Snapshot 0145 | MRR 0.0560
Snapshot 0146 | MRR 0.0496
Snapshot 0147 | MRR 0.0625
Snapshot 0148 | MRR 0.1387
Snapshot 0149 | MRR 0.0260
Snapshot 0150 | MRR 0.0471
Snapshot 0151 | MRR 0.2699
Snapshot 0152 | MRR 0.0219
Snapshot 0153 | MRR 0.0917
Snapshot 0154 | MRR 0.0259
Snapshot 0155 | MRR 0.0100
Snapshot 0156 | MRR 0.0457
Snapshot 0157 | MRR 0.1405
Snapshot 0158 | MRR 0.0519
Snapshot 0159 | MRR 0.1011
Snapshot 0160 | MRR 0.0522
Snapshot 0161 | MRR 0.0805
