
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0014
Snapshot 0002 | MRR 0.4167
Snapshot 0003 | MRR 0.0022
Snapshot 0004 | MRR 0.0152
Snapshot 0005 | MRR 0.2315
Snapshot 0006 | MRR 0.2506
Snapshot 0007 | MRR 0.1372
Snapshot 0008 | MRR 0.2926
Snapshot 0009 | MRR 0.4453
Snapshot 0010 | MRR 0.5556
Snapshot 0011 | MRR 0.0646
Snapshot 0012 | MRR 0.4738
Snapshot 0013 | MRR 0.1702
Snapshot 0014 | MRR 0.1093
Snapshot 0015 | MRR 0.2009
Snapshot 0016 | MRR 0.2017
Snapshot 0017 | MRR 0.1513
Snapshot 0018 | MRR 0.4360
Snapshot 0019 | MRR 0.1272
Snapshot 0020 | MRR 0.3752
Snapshot 0021 | MRR 0.2474
Snapshot 0022 | MRR 0.2037
Snapshot 0023 | MRR 0.1361
Snapshot 0024 | MRR 0.0458
Snapshot 0025 | MRR 0.1147
Snapshot 0026 | MRR 0.1380
Snapshot 0027 | MRR 0.1083
Snapshot 0028 | MRR 0.1031
Snapshot 0029 | MRR 0.0317
Snapshot 0030 | MRR 0.0604
Snapshot 0031 | MRR 0.0556
Snapshot 0032 | MRR 0.0635
Snapshot 0033 | MRR 0.0769
Snapshot 0034 | MRR 0.1016
Snapshot 0035 | MRR 0.0790
Snapshot 0036 | MRR 0.0889
Snapshot 0037 | MRR 0.0966
Snapshot 0038 | MRR 0.1060
Snapshot 0039 | MRR 0.1065
Snapshot 0040 | MRR 0.1419
Snapshot 0041 | MRR 0.1821
Snapshot 0042 | MRR 0.0496
Snapshot 0043 | MRR 0.2491
Snapshot 0044 | MRR 0.0490
Snapshot 0045 | MRR 0.1638
Snapshot 0046 | MRR 0.3570
Snapshot 0047 | MRR 0.2179
Snapshot 0048 | MRR 0.2774
Snapshot 0049 | MRR 0.3346
Snapshot 0050 | MRR 0.2619
Snapshot 0051 | MRR 0.3446
Snapshot 0052 | MRR 0.2642
Snapshot 0053 | MRR 0.1947
Snapshot 0054 | MRR 0.1510
Snapshot 0055 | MRR 0.2140
Snapshot 0056 | MRR 0.1622
Snapshot 0057 | MRR 0.1353
Snapshot 0058 | MRR 0.3140
