
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0161 | MRR 0.0702
Snapshot 0162 | MRR 0.1500
Snapshot 0163 | MRR 0.1030
Snapshot 0164 | MRR 0.1176
Snapshot 0165 | MRR 0.1117
Snapshot 0166 | MRR 0.2524
Snapshot 0167 | MRR 0.0910
Snapshot 0168 | MRR 0.1852
Snapshot 0169 | MRR 0.0287
Snapshot 0170 | MRR 0.1133
Snapshot 0171 | MRR 0.0393
Snapshot 0172 | MRR 0.0584
Snapshot 0173 | MRR 0.0677
Snapshot 0174 | MRR 0.1152
Snapshot 0175 | MRR 0.0249
Snapshot 0176 | MRR 0.2225
Snapshot 0177 | MRR 0.1487
Snapshot 0178 | MRR 0.0232
Snapshot 0179 | MRR 0.0864
Snapshot 0180 | MRR 0.0167
Snapshot 0181 | MRR 0.0332
Snapshot 0182 | MRR 0.0312
Snapshot 0183 | MRR 0.0921
Snapshot 0184 | MRR 0.0885
Snapshot 0185 | MRR 0.0231
Snapshot 0186 | MRR 0.1605
Snapshot 0187 | MRR 0.0069
Snapshot 0188 | MRR 0.0582
Snapshot 0189 | MRR 0.1225
Snapshot 0190 | MRR 0.0785
Snapshot 0191 | MRR 0.0093
Snapshot 0192 | MRR 0.1101
Snapshot 0193 | MRR 0.1254
Snapshot 0194 | MRR 0.1696
Snapshot 0195 | MRR 0.0634
Snapshot 0196 | MRR 0.2384
Snapshot 0197 | MRR 0.0273
Snapshot 0198 | MRR 0.0162
Snapshot 0199 | MRR 0.0289
Snapshot 0200 | MRR 0.0383
Snapshot 0201 | MRR 0.0116
Snapshot 0202 | MRR 0.0537
Snapshot 0203 | MRR 0.1326
Snapshot 0204 | MRR 0.0630
Snapshot 0205 | MRR 0.0388
Snapshot 0206 | MRR 0.1209
Snapshot 0207 | MRR 0.0318
Snapshot 0208 | MRR 0.0766
Snapshot 0209 | MRR 0.0940
Snapshot 0210 | MRR 0.1201
Snapshot 0211 | MRR 0.1517
Snapshot 0212 | MRR 0.0136
Snapshot 0213 | MRR 0.0090
Snapshot 0214 | MRR 0.0920
Snapshot 0215 | MRR 0.0997
Snapshot 0216 | MRR 0.2321
Snapshot 0217 | MRR 0.0061
Snapshot 0218 | MRR 0.1715
Snapshot 0219 | MRR 0.0747
Snapshot 0220 | MRR 0.0311
Snapshot 0221 | MRR 0.0017
Snapshot 0222 | MRR 0.1005
Snapshot 0223 | MRR 0.1675
Snapshot 0224 | MRR 0.0027
Snapshot 0225 | MRR 0.0030
Snapshot 0226 | MRR 0.1672
Snapshot 0227 | MRR 0.0033
Snapshot 0228 | MRR 0.1359
Snapshot 0229 | MRR 0.0979
Snapshot 0230 | MRR 0.0027
Snapshot 0231 | MRR 0.1762
