
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=4
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0024
Snapshot 0002 | MRR 0.3750
Snapshot 0003 | MRR 0.2511
Snapshot 0004 | MRR 0.0723
Snapshot 0005 | MRR 0.1024
Snapshot 0006 | MRR 0.5024
Snapshot 0007 | MRR 0.3616
Snapshot 0008 | MRR 0.1569
Snapshot 0009 | MRR 0.0379
Snapshot 0010 | MRR 0.2178
Snapshot 0011 | MRR 0.0699
Snapshot 0012 | MRR 0.2435
Snapshot 0013 | MRR 0.1971
Snapshot 0014 | MRR 0.2489
Snapshot 0015 | MRR 0.2965
Snapshot 0016 | MRR 0.2786
Snapshot 0017 | MRR 0.1717
Snapshot 0018 | MRR 0.2027
Snapshot 0019 | MRR 0.1731
Snapshot 0020 | MRR 0.4003
Snapshot 0021 | MRR 0.2380
Snapshot 0022 | MRR 0.3123
Snapshot 0023 | MRR 0.1353
Snapshot 0024 | MRR 0.0910
Snapshot 0025 | MRR 0.0762
Snapshot 0026 | MRR 0.0978
Snapshot 0027 | MRR 0.0819
Snapshot 0028 | MRR 0.0976
Snapshot 0029 | MRR 0.0613
Snapshot 0030 | MRR 0.0555
Snapshot 0031 | MRR 0.0681
Snapshot 0032 | MRR 0.1132
Snapshot 0033 | MRR 0.0391
Snapshot 0034 | MRR 0.1671
Snapshot 0035 | MRR 0.0320
Snapshot 0036 | MRR 0.0591
Snapshot 0037 | MRR 0.1749
Snapshot 0038 | MRR 0.1832
Snapshot 0039 | MRR 0.0604
Snapshot 0040 | MRR 0.1430
Snapshot 0041 | MRR 0.3035
Snapshot 0042 | MRR 0.1689
Snapshot 0043 | MRR 0.0353
Snapshot 0044 | MRR 0.1394
Snapshot 0045 | MRR 0.1773
Snapshot 0046 | MRR 0.3338
Snapshot 0047 | MRR 0.0819
Snapshot 0048 | MRR 0.2820
Snapshot 0049 | MRR 0.3780
Snapshot 0050 | MRR 0.1474
Snapshot 0051 | MRR 0.1536
Snapshot 0052 | MRR 0.1794
Snapshot 0053 | MRR 0.0393
Snapshot 0054 | MRR 0.3016
Snapshot 0055 | MRR 0.2183
Snapshot 0056 | MRR 0.1674
Snapshot 0057 | MRR 0.3636
Snapshot 0058 | MRR 0.3161
Snapshot 0059 | MRR 0.2797
Snapshot 0060 | MRR 0.3822
Snapshot 0061 | MRR 0.1489
Snapshot 0062 | MRR 0.2308
Snapshot 0063 | MRR 0.1490
Snapshot 0064 | MRR 0.1419
Snapshot 0065 | MRR 0.2181
Snapshot 0066 | MRR 0.0876
Snapshot 0067 | MRR 0.2572
Snapshot 0068 | MRR 0.1482
Snapshot 0069 | MRR 0.1980
Snapshot 0070 | MRR 0.1718
Snapshot 0071 | MRR 0.1599
Snapshot 0072 | MRR 0.1540
Snapshot 0073 | MRR 0.1156
Snapshot 0074 | MRR 0.1304
Snapshot 0075 | MRR 0.0527
Snapshot 0076 | MRR 0.1252
Snapshot 0077 | MRR 0.1165
Snapshot 0078 | MRR 0.1732
Snapshot 0079 | MRR 0.0624
Snapshot 0080 | MRR 0.2703
Snapshot 0081 | MRR 0.0751
Snapshot 0082 | MRR 0.1028
Snapshot 0083 | MRR 0.1136
Snapshot 0084 | MRR 0.0695
Snapshot 0085 | MRR 0.1102
Snapshot 0086 | MRR 0.0775
Snapshot 0087 | MRR 0.2862
Snapshot 0088 | MRR 0.0468
Snapshot 0089 | MRR 0.1124
Snapshot 0090 | MRR 0.0836
Snapshot 0091 | MRR 0.0664
Snapshot 0092 | MRR 0.1313
Snapshot 0093 | MRR 0.1187
Snapshot 0094 | MRR 0.1116
Snapshot 0095 | MRR 0.0573
Snapshot 0096 | MRR 0.1118
Snapshot 0097 | MRR 0.1566
Snapshot 0098 | MRR 0.0843
Snapshot 0099 | MRR 0.1486
Snapshot 0100 | MRR 0.1032
Snapshot 0101 | MRR 0.0696
Snapshot 0102 | MRR 0.1540
Snapshot 0103 | MRR 0.1362
Snapshot 0104 | MRR 0.1675
Snapshot 0105 | MRR 0.0621
Snapshot 0106 | MRR 0.1220
Snapshot 0107 | MRR 0.0990
Snapshot 0108 | MRR 0.2135
Snapshot 0109 | MRR 0.1918
Snapshot 0110 | MRR 0.1821
Snapshot 0111 | MRR 0.1448
Snapshot 0112 | MRR 0.2257
Snapshot 0113 | MRR 0.3674
Snapshot 0114 | MRR 0.0949
Snapshot 0115 | MRR 0.0866
Snapshot 0116 | MRR 0.1314
Snapshot 0117 | MRR 0.0898
Snapshot 0118 | MRR 0.0983
Snapshot 0119 | MRR 0.2782
Snapshot 0120 | MRR 0.1293
Snapshot 0121 | MRR 0.2848
Snapshot 0122 | MRR 0.0871
Snapshot 0123 | MRR 0.2295
Snapshot 0124 | MRR 0.1331
Snapshot 0125 | MRR 0.1699
Snapshot 0126 | MRR 0.2105
Snapshot 0127 | MRR 0.2108
Snapshot 0128 | MRR 0.2045
Snapshot 0129 | MRR 0.0397
Snapshot 0130 | MRR 0.0317
Snapshot 0131 | MRR 0.0264
Snapshot 0132 | MRR 0.1867
Snapshot 0133 | MRR 0.1590
Snapshot 0134 | MRR 0.0698
Snapshot 0135 | MRR 0.1143
Snapshot 0136 | MRR 0.1560
Snapshot 0137 | MRR 0.1819
Snapshot 0138 | MRR 0.2052
Snapshot 0139 | MRR 0.1210
Snapshot 0140 | MRR 0.1714
Snapshot 0141 | MRR 0.1140
Snapshot 0142 | MRR 0.1979
Snapshot 0143 | MRR 0.1069
Snapshot 0144 | MRR 0.1229
Snapshot 0145 | MRR 0.2236
Snapshot 0146 | MRR 0.1244
Snapshot 0147 | MRR 0.0738
Snapshot 0148 | MRR 0.0766
Snapshot 0149 | MRR 0.1486
Snapshot 0150 | MRR 0.0383
Snapshot 0151 | MRR 0.0341
Snapshot 0152 | MRR 0.1289
Snapshot 0153 | MRR 0.1057
Snapshot 0154 | MRR 0.0455
Snapshot 0155 | MRR 0.1112
Snapshot 0156 | MRR 0.1396
Snapshot 0157 | MRR 0.1715
Snapshot 0158 | MRR 0.2115
Snapshot 0159 | MRR 0.2097
Snapshot 0160 | MRR 0.2098
Snapshot 0161 | MRR 0.1640
Snapshot 0162 | MRR 0.2674
Snapshot 0163 | MRR 0.0512
Snapshot 0164 | MRR 0.1240
Snapshot 0165 | MRR 0.1540
Snapshot 0166 | MRR 0.0059
