
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0040
Snapshot 0002 | MRR 0.2917
Snapshot 0003 | MRR 0.3971
Snapshot 0004 | MRR 0.2893
Snapshot 0005 | MRR 0.2105
Snapshot 0006 | MRR 0.0039
Snapshot 0007 | MRR 0.5519
Snapshot 0008 | MRR 0.1756
Snapshot 0009 | MRR 0.0360
Snapshot 0010 | MRR 0.1470
Snapshot 0011 | MRR 0.0525
Snapshot 0012 | MRR 0.1837
Snapshot 0013 | MRR 0.2223
Snapshot 0014 | MRR 0.2273
Snapshot 0015 | MRR 0.1659
Snapshot 0016 | MRR 0.2416
Snapshot 0017 | MRR 0.3087
Snapshot 0018 | MRR 0.4606
Snapshot 0019 | MRR 0.3107
Snapshot 0020 | MRR 0.0597
Snapshot 0021 | MRR 0.1232
Snapshot 0022 | MRR 0.0756
Snapshot 0023 | MRR 0.2922
Snapshot 0024 | MRR 0.0928
Snapshot 0025 | MRR 0.1310
Snapshot 0026 | MRR 0.1128
Snapshot 0027 | MRR 0.1166
Snapshot 0028 | MRR 0.0756
Snapshot 0029 | MRR 0.0609
Snapshot 0030 | MRR 0.0581
Snapshot 0031 | MRR 0.0673
Snapshot 0032 | MRR 0.0196
Snapshot 0033 | MRR 0.0263
Snapshot 0034 | MRR 0.0432
Snapshot 0035 | MRR 0.0593
Snapshot 0036 | MRR 0.2282
Snapshot 0037 | MRR 0.0795
Snapshot 0038 | MRR 0.0594
Snapshot 0039 | MRR 0.0578
Snapshot 0040 | MRR 0.2327
Snapshot 0041 | MRR 0.1852
Snapshot 0042 | MRR 0.0616
Snapshot 0043 | MRR 0.2364
Snapshot 0044 | MRR 0.1552
Snapshot 0045 | MRR 0.2328
Snapshot 0046 | MRR 0.1843
Snapshot 0047 | MRR 0.2096
Snapshot 0048 | MRR 0.1493
Snapshot 0049 | MRR 0.1564
Snapshot 0050 | MRR 0.2999
Snapshot 0051 | MRR 0.0545
Snapshot 0052 | MRR 0.1634
Snapshot 0053 | MRR 0.1282
Snapshot 0054 | MRR 0.1678
Snapshot 0055 | MRR 0.1051
Snapshot 0056 | MRR 0.5073
Snapshot 0057 | MRR 0.1978
Snapshot 0058 | MRR 0.5407
Snapshot 0059 | MRR 0.4098
Snapshot 0060 | MRR 0.2136
Snapshot 0061 | MRR 0.0864
Snapshot 0062 | MRR 0.0681
Snapshot 0063 | MRR 0.1959
Snapshot 0064 | MRR 0.1397
Snapshot 0065 | MRR 0.0878
Snapshot 0066 | MRR 0.0982
Snapshot 0067 | MRR 0.2718
Snapshot 0068 | MRR 0.0945
Snapshot 0069 | MRR 0.2397
Snapshot 0070 | MRR 0.1641
Snapshot 0071 | MRR 0.1066
Snapshot 0072 | MRR 0.1426
Snapshot 0073 | MRR 0.1700
Snapshot 0074 | MRR 0.1308
Snapshot 0075 | MRR 0.2138
Snapshot 0076 | MRR 0.0915
Snapshot 0077 | MRR 0.0840
Snapshot 0078 | MRR 0.3039
Snapshot 0079 | MRR 0.1428
Snapshot 0080 | MRR 0.1011
Snapshot 0081 | MRR 0.0701
Snapshot 0082 | MRR 0.1461
Snapshot 0083 | MRR 0.0954
Snapshot 0084 | MRR 0.2082
Snapshot 0085 | MRR 0.1509
Snapshot 0086 | MRR 0.1245
Snapshot 0087 | MRR 0.0731
Snapshot 0088 | MRR 0.0462
Snapshot 0089 | MRR 0.1464
Snapshot 0090 | MRR 0.0474
Snapshot 0091 | MRR 0.0664
Snapshot 0092 | MRR 0.2053
Snapshot 0093 | MRR 0.1053
Snapshot 0094 | MRR 0.1315
Snapshot 0095 | MRR 0.1449
Snapshot 0096 | MRR 0.0926
Snapshot 0097 | MRR 0.1775
Snapshot 0098 | MRR 0.1175
Snapshot 0099 | MRR 0.0939
Snapshot 0100 | MRR 0.0972
Snapshot 0101 | MRR 0.2213
Snapshot 0102 | MRR 0.2133
Snapshot 0103 | MRR 0.0964
Snapshot 0104 | MRR 0.1613
Snapshot 0105 | MRR 0.1035
Snapshot 0106 | MRR 0.1769
Snapshot 0107 | MRR 0.1334
Snapshot 0108 | MRR 0.1610
Snapshot 0109 | MRR 0.2566
Snapshot 0110 | MRR 0.2169
Snapshot 0111 | MRR 0.1350
Snapshot 0112 | MRR 0.0856
Snapshot 0113 | MRR 0.1974
Snapshot 0114 | MRR 0.0411
Snapshot 0115 | MRR 0.0667
Snapshot 0116 | MRR 0.1183
Snapshot 0117 | MRR 0.1122
Snapshot 0118 | MRR 0.0894
Snapshot 0119 | MRR 0.0419
Snapshot 0120 | MRR 0.1042
Snapshot 0121 | MRR 0.1352
Snapshot 0122 | MRR 0.1013
Snapshot 0123 | MRR 0.1515
Snapshot 0124 | MRR 0.2022
Snapshot 0125 | MRR 0.1749
Snapshot 0126 | MRR 0.1893
Snapshot 0127 | MRR 0.1111
Snapshot 0128 | MRR 0.0835
Snapshot 0129 | MRR 0.0735
Snapshot 0130 | MRR 0.0793
Snapshot 0131 | MRR 0.0979
Snapshot 0132 | MRR 0.1445
Snapshot 0133 | MRR 0.1453
