
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update_fixed_split  decoder=dot
  node_features=learned  seed=3
==================================================================
  T=138  N=5881  start_compute_mrr=110
  edge features: learned (raw dim 2)
Snapshot 0110 | MRR 0.2240
Snapshot 0111 | MRR 0.1889
Snapshot 0112 | MRR 0.1963
Snapshot 0113 | MRR 0.2489
Snapshot 0114 | MRR 0.2843
Snapshot 0115 | MRR 0.3040
Snapshot 0116 | MRR 0.1514
Snapshot 0117 | MRR 0.3008
Snapshot 0118 | MRR 0.1351
Snapshot 0119 | MRR 0.2629
Snapshot 0120 | MRR 0.3104
Snapshot 0121 | MRR 0.1992
Snapshot 0122 | MRR 0.4100
Snapshot 0123 | MRR 0.3571
Snapshot 0124 | MRR 0.0818
Snapshot 0125 | MRR 0.2778
Snapshot 0126 | MRR 0.1439
Snapshot 0127 | MRR 0.3468
Snapshot 0128 | MRR 0.2239
Snapshot 0129 | MRR 0.3894
Snapshot 0130 | MRR 0.1569
Snapshot 0131 | MRR 0.4990
Snapshot 0132 | MRR 0.1971
Snapshot 0133 | MRR 0.4282
Snapshot 0134 | MRR 0.2828
Snapshot 0135 | MRR 0.2037
Snapshot 0136 | MRR 0.3959
Snapshot 0137 | MRR 0.1381

bitcoin-otc  MRR = 0.262099  (28 eval snapshots)
saved -> results/roland_port/live_update_fixed_split/dot_node-learned_edge-learned/bitcoin-otc/seed3/exp_20260813-175128_lp.json
