
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=4
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0020
Snapshot 0002 | MRR 0.0838
Snapshot 0003 | MRR 0.0021
Snapshot 0004 | MRR 0.0723
Snapshot 0005 | MRR 0.0408
Snapshot 0006 | MRR 0.2513
Snapshot 0007 | MRR 0.0016
Snapshot 0008 | MRR 0.2086
Snapshot 0009 | MRR 0.0024
Snapshot 0010 | MRR 0.0845
Snapshot 0011 | MRR 0.0325
Snapshot 0012 | MRR 0.2642
Snapshot 0013 | MRR 0.0710
Snapshot 0014 | MRR 0.2254
Snapshot 0015 | MRR 0.1695
Snapshot 0016 | MRR 0.2394
Snapshot 0017 | MRR 0.0621
Snapshot 0018 | MRR 0.0258
Snapshot 0019 | MRR 0.0248
Snapshot 0020 | MRR 0.2510
Snapshot 0021 | MRR 0.0347
Snapshot 0022 | MRR 0.0310
Snapshot 0023 | MRR 0.0466
Snapshot 0024 | MRR 0.0901
Snapshot 0025 | MRR 0.0304
Snapshot 0026 | MRR 0.0633
Snapshot 0027 | MRR 0.0799
Snapshot 0028 | MRR 0.0710
Snapshot 0029 | MRR 0.0379
Snapshot 0030 | MRR 0.0264
Snapshot 0031 | MRR 0.0412
Snapshot 0032 | MRR 0.0114
Snapshot 0033 | MRR 0.0197
Snapshot 0034 | MRR 0.0257
Snapshot 0035 | MRR 0.0234
Snapshot 0036 | MRR 0.1378
Snapshot 0037 | MRR 0.1162
Snapshot 0038 | MRR 0.0619
Snapshot 0039 | MRR 0.0286
Snapshot 0040 | MRR 0.0465
Snapshot 0041 | MRR 0.1569
Snapshot 0042 | MRR 0.0498
Snapshot 0043 | MRR 0.0236
Snapshot 0044 | MRR 0.1008
Snapshot 0045 | MRR 0.1374
Snapshot 0046 | MRR 0.1705
Snapshot 0047 | MRR 0.0212
Snapshot 0048 | MRR 0.0460
Snapshot 0049 | MRR 0.1021
Snapshot 0050 | MRR 0.1467
Snapshot 0051 | MRR 0.0318
Snapshot 0052 | MRR 0.0663
Snapshot 0053 | MRR 0.0247
Snapshot 0054 | MRR 0.2531
Snapshot 0055 | MRR 0.1043
Snapshot 0056 | MRR 0.0535
Snapshot 0057 | MRR 0.1288
Snapshot 0058 | MRR 0.1163
