
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.1714
Snapshot 0002 | MRR 0.0395
Snapshot 0003 | MRR 0.5008
Snapshot 0004 | MRR 0.0026
Snapshot 0005 | MRR 0.5005
Snapshot 0006 | MRR 0.2511
Snapshot 0007 | MRR 0.0040
Snapshot 0008 | MRR 0.0850
Snapshot 0009 | MRR 0.1015
Snapshot 0010 | MRR 0.1120
Snapshot 0011 | MRR 0.2862
Snapshot 0012 | MRR 0.0232
Snapshot 0013 | MRR 0.0529
Snapshot 0014 | MRR 0.2075
Snapshot 0015 | MRR 0.0404
Snapshot 0016 | MRR 0.0973
Snapshot 0017 | MRR 0.2298
Snapshot 0018 | MRR 0.2255
Snapshot 0019 | MRR 0.2654
Snapshot 0020 | MRR 0.0585
Snapshot 0021 | MRR 0.0726
Snapshot 0022 | MRR 0.0330
Snapshot 0023 | MRR 0.1617
Snapshot 0024 | MRR 0.0309
Snapshot 0025 | MRR 0.0913
Snapshot 0026 | MRR 0.0893
Snapshot 0027 | MRR 0.1492
Snapshot 0028 | MRR 0.0739
Snapshot 0029 | MRR 0.0344
Snapshot 0030 | MRR 0.0525
Snapshot 0031 | MRR 0.0342
Snapshot 0032 | MRR 0.0156
Snapshot 0033 | MRR 0.0475
Snapshot 0034 | MRR 0.0569
Snapshot 0035 | MRR 0.0479
Snapshot 0036 | MRR 0.0757
Snapshot 0037 | MRR 0.0864
Snapshot 0038 | MRR 0.0491
Snapshot 0039 | MRR 0.0833
Snapshot 0040 | MRR 0.0972
Snapshot 0041 | MRR 0.1332
Snapshot 0042 | MRR 0.0905
Snapshot 0043 | MRR 0.0581
Snapshot 0044 | MRR 0.1338
Snapshot 0045 | MRR 0.1050
Snapshot 0046 | MRR 0.0534
