
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=paper_fixed_split  decoder=mlp
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=246
  edge features: learned (raw dim 2)
Snapshot 0246 | MRR 0.2925
Snapshot 0247 | MRR 0.1034
Snapshot 0248 | MRR 0.3759
Snapshot 0249 | MRR 0.2402
Snapshot 0250 | MRR 0.2214
Snapshot 0251 | MRR 0.1102
Snapshot 0252 | MRR 0.2106
Snapshot 0253 | MRR 0.2337
Snapshot 0254 | MRR 0.2744
Snapshot 0255 | MRR 0.4731
Snapshot 0256 | MRR 0.2375
Snapshot 0257 | MRR 0.2480
Snapshot 0258 | MRR 0.2696
Snapshot 0259 | MRR 0.0929
Snapshot 0260 | MRR 0.3783
Snapshot 0261 | MRR 0.1781
Snapshot 0262 | MRR 0.2172
Snapshot 0263 | MRR 0.2447
Snapshot 0264 | MRR 0.3782
Snapshot 0265 | MRR 0.4527
Snapshot 0266 | MRR 0.0978
Snapshot 0267 | MRR 0.3468
Snapshot 0268 | MRR 0.0703
Snapshot 0269 | MRR 0.3713
Snapshot 0270 | MRR 0.3625
Snapshot 0271 | MRR 0.3492
Snapshot 0272 | MRR 0.2621

bitcoin-otc  MRR = 0.262693  (27 eval snapshots)
saved -> results/roland_port/paper_fixed_split_und-yes_loss-bce/mlp_node-learned_edge-learned/bitcoin-otc/seed0/exp_20260814-163058_lp.json
