
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update_fixed_split  decoder=mlp
  node_features=learned  seed=2
==================================================================
  T=138  N=5881  start_compute_mrr=110
  edge features: learned (raw dim 2)
Snapshot 0110 | MRR 0.2882
Snapshot 0111 | MRR 0.2202
Snapshot 0112 | MRR 0.2219
Snapshot 0113 | MRR 0.2943
Snapshot 0114 | MRR 0.2248
Snapshot 0115 | MRR 0.3961
Snapshot 0116 | MRR 0.3813
Snapshot 0117 | MRR 0.2737
Snapshot 0118 | MRR 0.1380
Snapshot 0119 | MRR 0.2738
Snapshot 0120 | MRR 0.3041
Snapshot 0121 | MRR 0.2607
Snapshot 0122 | MRR 0.3200
Snapshot 0123 | MRR 0.3425
Snapshot 0124 | MRR 0.1387
Snapshot 0125 | MRR 0.2503
Snapshot 0126 | MRR 0.3287
Snapshot 0127 | MRR 0.3574
Snapshot 0128 | MRR 0.2529
Snapshot 0129 | MRR 0.3303
Snapshot 0130 | MRR 0.1749
Snapshot 0131 | MRR 0.5439
Snapshot 0132 | MRR 0.4804
Snapshot 0133 | MRR 0.4450
Snapshot 0134 | MRR 0.2918
Snapshot 0135 | MRR 0.3534
Snapshot 0136 | MRR 0.4387
Snapshot 0137 | MRR 0.2100

bitcoin-otc  MRR = 0.304858  (28 eval snapshots)
saved -> results/roland_port/live_update_fixed_split/mlp_node-learned_edge-learned/bitcoin-otc/seed2/exp_20260813-181626_lp.json
