
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=paper_fixed_split  decoder=dot
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=246
  edge features: learned (raw dim 2)
Snapshot 0246 | MRR 0.2343
Snapshot 0247 | MRR 0.0180
Snapshot 0248 | MRR 0.3128
Snapshot 0249 | MRR 0.0711
Snapshot 0250 | MRR 0.1175
Snapshot 0251 | MRR 0.0059
Snapshot 0252 | MRR 0.0974
Snapshot 0253 | MRR 0.3008
Snapshot 0254 | MRR 0.1204
Snapshot 0255 | MRR 0.1313
Snapshot 0256 | MRR 0.2074
Snapshot 0257 | MRR 0.1831
Snapshot 0258 | MRR 0.0193
Snapshot 0259 | MRR 0.1241
Snapshot 0260 | MRR 0.0363
Snapshot 0261 | MRR 0.5833
Snapshot 0262 | MRR 0.0903
Snapshot 0263 | MRR 0.3992
Snapshot 0264 | MRR 0.2492
Snapshot 0265 | MRR 0.0429
Snapshot 0266 | MRR 0.2371
Snapshot 0267 | MRR 0.2298
Snapshot 0268 | MRR 0.0663
Snapshot 0269 | MRR 0.2556
Snapshot 0270 | MRR 0.0699
Snapshot 0271 | MRR 0.0570
Snapshot 0272 | MRR 0.0436

bitcoin-otc  MRR = 0.159395  (27 eval snapshots)
saved -> results/roland_port/paper_fixed_split_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-otc/seed0/exp_20260814-153138_lp.json
