
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0018
Snapshot 0002 | MRR 0.0081
Snapshot 0003 | MRR 0.0024
Snapshot 0004 | MRR 0.0013
Snapshot 0005 | MRR 0.3670
Snapshot 0006 | MRR 0.0011
Snapshot 0007 | MRR 0.0076
Snapshot 0008 | MRR 0.2505
Snapshot 0009 | MRR 0.0213
Snapshot 0010 | MRR 0.3340
Snapshot 0011 | MRR 0.2555
Snapshot 0012 | MRR 0.1020
Snapshot 0013 | MRR 0.0654
Snapshot 0014 | MRR 0.1437
Snapshot 0015 | MRR 0.1554
Snapshot 0016 | MRR 0.4272
Snapshot 0017 | MRR 0.1872
Snapshot 0018 | MRR 0.0829
Snapshot 0019 | MRR 0.0367
Snapshot 0020 | MRR 0.1225
Snapshot 0021 | MRR 0.0675
Snapshot 0022 | MRR 0.1137
Snapshot 0023 | MRR 0.0966
Snapshot 0024 | MRR 0.0982
Snapshot 0025 | MRR 0.0812
Snapshot 0026 | MRR 0.0815
Snapshot 0027 | MRR 0.1330
Snapshot 0028 | MRR 0.0646
Snapshot 0029 | MRR 0.0579
Snapshot 0030 | MRR 0.0740
Snapshot 0031 | MRR 0.0430
Snapshot 0032 | MRR 0.1046
Snapshot 0033 | MRR 0.0324
Snapshot 0034 | MRR 0.0842
Snapshot 0035 | MRR 0.0402
Snapshot 0036 | MRR 0.1120
Snapshot 0037 | MRR 0.1405
Snapshot 0038 | MRR 0.0878
Snapshot 0039 | MRR 0.0964
Snapshot 0040 | MRR 0.0911
Snapshot 0041 | MRR 0.1036
Snapshot 0042 | MRR 0.0410
Snapshot 0043 | MRR 0.1240
Snapshot 0044 | MRR 0.1569
Snapshot 0045 | MRR 0.1009
Snapshot 0046 | MRR 0.0676
Snapshot 0047 | MRR 0.0174
Snapshot 0048 | MRR 0.0955
Snapshot 0049 | MRR 0.0235
Snapshot 0050 | MRR 0.1927
Snapshot 0051 | MRR 0.1154
Snapshot 0052 | MRR 0.0948
Snapshot 0053 | MRR 0.0986
Snapshot 0054 | MRR 0.1324
Snapshot 0055 | MRR 0.0313
Snapshot 0056 | MRR 0.0234
Snapshot 0057 | MRR 0.1203
Snapshot 0058 | MRR 0.0816
Snapshot 0059 | MRR 0.2842
Snapshot 0060 | MRR 0.1388
Snapshot 0061 | MRR 0.1875
Snapshot 0062 | MRR 0.0359
Snapshot 0063 | MRR 0.0588
Snapshot 0064 | MRR 0.1088
Snapshot 0065 | MRR 0.1475
Snapshot 0066 | MRR 0.0380
Snapshot 0067 | MRR 0.1038
Snapshot 0068 | MRR 0.0581
Snapshot 0069 | MRR 0.0748
Snapshot 0070 | MRR 0.1069
Snapshot 0071 | MRR 0.1476
Snapshot 0072 | MRR 0.1322
Snapshot 0073 | MRR 0.0660
Snapshot 0074 | MRR 0.0342
Snapshot 0075 | MRR 0.0416
Snapshot 0076 | MRR 0.0872
Snapshot 0077 | MRR 0.0663
Snapshot 0078 | MRR 0.0537
Snapshot 0079 | MRR 0.0583
Snapshot 0080 | MRR 0.0415
Snapshot 0081 | MRR 0.0198
Snapshot 0082 | MRR 0.0389
Snapshot 0083 | MRR 0.0338
Snapshot 0084 | MRR 0.0292
Snapshot 0085 | MRR 0.0928
Snapshot 0086 | MRR 0.0765
Snapshot 0087 | MRR 0.0509
Snapshot 0088 | MRR 0.1065
Snapshot 0089 | MRR 0.0838
Snapshot 0090 | MRR 0.0807
Snapshot 0091 | MRR 0.0743
Snapshot 0092 | MRR 0.0739
Snapshot 0093 | MRR 0.0399
Snapshot 0094 | MRR 0.0372
Snapshot 0095 | MRR 0.0492
Snapshot 0096 | MRR 0.1361
Snapshot 0097 | MRR 0.0285
Snapshot 0098 | MRR 0.0361
Snapshot 0099 | MRR 0.0740
Snapshot 0100 | MRR 0.0504
Snapshot 0101 | MRR 0.0186
Snapshot 0102 | MRR 0.0914
Snapshot 0103 | MRR 0.0437
Snapshot 0104 | MRR 0.0481
Snapshot 0105 | MRR 0.0283
Snapshot 0106 | MRR 0.0533
Snapshot 0107 | MRR 0.0306
Snapshot 0108 | MRR 0.0407
Snapshot 0109 | MRR 0.1101
Snapshot 0110 | MRR 0.0858
Snapshot 0111 | MRR 0.0773
Snapshot 0112 | MRR 0.0337
Snapshot 0113 | MRR 0.0403
Snapshot 0114 | MRR 0.0481
Snapshot 0115 | MRR 0.0305
Snapshot 0116 | MRR 0.1261
Snapshot 0117 | MRR 0.0731
Snapshot 0118 | MRR 0.1173
Snapshot 0119 | MRR 0.0890
Snapshot 0120 | MRR 0.0648
Snapshot 0121 | MRR 0.0782
Snapshot 0122 | MRR 0.0817
Snapshot 0123 | MRR 0.0274
Snapshot 0124 | MRR 0.0331
Snapshot 0125 | MRR 0.0587
Snapshot 0126 | MRR 0.0349
Snapshot 0127 | MRR 0.0277
Snapshot 0128 | MRR 0.0489
Snapshot 0129 | MRR 0.0469
Snapshot 0130 | MRR 0.0562
Snapshot 0131 | MRR 0.0579
Snapshot 0132 | MRR 0.0382
Snapshot 0133 | MRR 0.0346
Snapshot 0134 | MRR 0.0052
Snapshot 0135 | MRR 0.0967
Snapshot 0136 | MRR 0.0863
Snapshot 0137 | MRR 0.0499
Snapshot 0138 | MRR 0.1470
Snapshot 0139 | MRR 0.0799
Snapshot 0140 | MRR 0.0559
Snapshot 0141 | MRR 0.1453
Snapshot 0142 | MRR 0.0648
Snapshot 0143 | MRR 0.0440
Snapshot 0144 | MRR 0.0723
Snapshot 0145 | MRR 0.0431
Snapshot 0146 | MRR 0.0764
Snapshot 0147 | MRR 0.0993
Snapshot 0148 | MRR 0.0846
