
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0845
Snapshot 0002 | MRR 0.2381
Snapshot 0003 | MRR 0.5012
Snapshot 0004 | MRR 0.1564
Snapshot 0005 | MRR 0.1875
Snapshot 0006 | MRR 0.2932
Snapshot 0007 | MRR 0.2880
Snapshot 0008 | MRR 0.0862
Snapshot 0009 | MRR 0.2190
Snapshot 0010 | MRR 0.4451
Snapshot 0011 | MRR 0.4333
Snapshot 0012 | MRR 0.1756
Snapshot 0013 | MRR 0.1698
Snapshot 0014 | MRR 0.2397
Snapshot 0015 | MRR 0.1417
Snapshot 0016 | MRR 0.2485
Snapshot 0017 | MRR 0.1991
Snapshot 0018 | MRR 0.3147
Snapshot 0019 | MRR 0.5917
Snapshot 0020 | MRR 0.1915
Snapshot 0021 | MRR 0.1752
Snapshot 0022 | MRR 0.1839
Snapshot 0023 | MRR 0.2576
Snapshot 0024 | MRR 0.0707
Snapshot 0025 | MRR 0.0907
Snapshot 0026 | MRR 0.1204
Snapshot 0027 | MRR 0.0824
Snapshot 0028 | MRR 0.1258
Snapshot 0029 | MRR 0.0647
Snapshot 0030 | MRR 0.0428
Snapshot 0031 | MRR 0.0978
Snapshot 0032 | MRR 0.0761
Snapshot 0033 | MRR 0.0343
Snapshot 0034 | MRR 0.0559
Snapshot 0035 | MRR 0.1157
Snapshot 0036 | MRR 0.0704
Snapshot 0037 | MRR 0.2032
Snapshot 0038 | MRR 0.1808
Snapshot 0039 | MRR 0.0780
Snapshot 0040 | MRR 0.1985
Snapshot 0041 | MRR 0.2055
Snapshot 0042 | MRR 0.1707
Snapshot 0043 | MRR 0.1907
Snapshot 0044 | MRR 0.1953
Snapshot 0045 | MRR 0.2752
Snapshot 0046 | MRR 0.0868
Snapshot 0047 | MRR 0.3908
Snapshot 0048 | MRR 0.1604
Snapshot 0049 | MRR 0.2697
Snapshot 0050 | MRR 0.1938
Snapshot 0051 | MRR 0.2863
Snapshot 0052 | MRR 0.3706
Snapshot 0053 | MRR 0.3020
Snapshot 0054 | MRR 0.3003
Snapshot 0055 | MRR 0.2129
Snapshot 0056 | MRR 0.3183
Snapshot 0057 | MRR 0.2334
Snapshot 0058 | MRR 0.2671
Snapshot 0059 | MRR 0.2337
Snapshot 0060 | MRR 0.3623
Snapshot 0061 | MRR 1.0000
Snapshot 0062 | MRR 0.2201
Snapshot 0063 | MRR 0.1835
Snapshot 0064 | MRR 0.2252
Snapshot 0065 | MRR 0.1536
Snapshot 0066 | MRR 0.1296
Snapshot 0067 | MRR 0.2426
Snapshot 0068 | MRR 0.2527
Snapshot 0069 | MRR 0.2603
Snapshot 0070 | MRR 0.1904
Snapshot 0071 | MRR 0.2689
Snapshot 0072 | MRR 0.1142
Snapshot 0073 | MRR 0.2253
Snapshot 0074 | MRR 0.1664
Snapshot 0075 | MRR 0.2241
Snapshot 0076 | MRR 0.2038
Snapshot 0077 | MRR 0.0811
Snapshot 0078 | MRR 0.3161
Snapshot 0079 | MRR 0.1543
Snapshot 0080 | MRR 0.1934
Snapshot 0081 | MRR 0.1045
Snapshot 0082 | MRR 0.1307
Snapshot 0083 | MRR 0.1214
Snapshot 0084 | MRR 0.1413
Snapshot 0085 | MRR 0.1205
Snapshot 0086 | MRR 0.1728
Snapshot 0087 | MRR 0.1694
Snapshot 0088 | MRR 0.0599
Snapshot 0089 | MRR 0.1415
Snapshot 0090 | MRR 0.1222
Snapshot 0091 | MRR 0.1591
Snapshot 0092 | MRR 0.0841
Snapshot 0093 | MRR 0.1208
Snapshot 0094 | MRR 0.1474
Snapshot 0095 | MRR 0.2241
Snapshot 0096 | MRR 0.1807
Snapshot 0097 | MRR 0.1881
Snapshot 0098 | MRR 0.0895
Snapshot 0099 | MRR 0.0657
Snapshot 0100 | MRR 0.1628
Snapshot 0101 | MRR 0.1671
Snapshot 0102 | MRR 0.1845
Snapshot 0103 | MRR 0.1839
Snapshot 0104 | MRR 0.1187
Snapshot 0105 | MRR 0.2411
Snapshot 0106 | MRR 0.1673
Snapshot 0107 | MRR 0.1961
Snapshot 0108 | MRR 0.1895
Snapshot 0109 | MRR 0.2460
Snapshot 0110 | MRR 0.2288
Snapshot 0111 | MRR 0.2121
Snapshot 0112 | MRR 0.2848
Snapshot 0113 | MRR 0.1465
Snapshot 0114 | MRR 0.2281
Snapshot 0115 | MRR 0.1333
Snapshot 0116 | MRR 0.1741
Snapshot 0117 | MRR 0.1753
Snapshot 0118 | MRR 0.1672
Snapshot 0119 | MRR 0.1237
Snapshot 0120 | MRR 0.2270
Snapshot 0121 | MRR 0.2487
Snapshot 0122 | MRR 0.2448
Snapshot 0123 | MRR 0.1407
Snapshot 0124 | MRR 0.1766
Snapshot 0125 | MRR 0.2217
Snapshot 0126 | MRR 0.1866
Snapshot 0127 | MRR 0.1379
Snapshot 0128 | MRR 0.2185
Snapshot 0129 | MRR 0.1771
Snapshot 0130 | MRR 0.1624
Snapshot 0131 | MRR 0.0932
Snapshot 0132 | MRR 0.1604
Snapshot 0133 | MRR 0.1920
Snapshot 0134 | MRR 0.1089
Snapshot 0135 | MRR 0.1544
Snapshot 0136 | MRR 0.1705
Snapshot 0137 | MRR 0.1581
Snapshot 0138 | MRR 0.2303
Snapshot 0139 | MRR 0.2533
Snapshot 0140 | MRR 0.1686
Snapshot 0141 | MRR 0.1327
Snapshot 0142 | MRR 0.1712
Snapshot 0143 | MRR 0.1978
Snapshot 0144 | MRR 0.1728
Snapshot 0145 | MRR 0.2115
Snapshot 0146 | MRR 0.1167
Snapshot 0147 | MRR 0.1225
Snapshot 0148 | MRR 0.2390
Snapshot 0149 | MRR 0.2615
Snapshot 0150 | MRR 0.1802
Snapshot 0151 | MRR 0.1329
Snapshot 0152 | MRR 0.2163
Snapshot 0153 | MRR 0.2263
Snapshot 0154 | MRR 0.1678
Snapshot 0155 | MRR 0.1972
Snapshot 0156 | MRR 0.1081
Snapshot 0157 | MRR 0.1449
Snapshot 0158 | MRR 0.2238
Snapshot 0159 | MRR 0.0907
Snapshot 0160 | MRR 0.1671
Snapshot 0161 | MRR 0.1684
Snapshot 0162 | MRR 0.1162
Snapshot 0163 | MRR 0.1314
Snapshot 0164 | MRR 0.1829
Snapshot 0165 | MRR 0.1911
Snapshot 0166 | MRR 0.0869
Snapshot 0167 | MRR 0.0326
Snapshot 0168 | MRR 0.1158
Snapshot 0169 | MRR 0.2566
