
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update_fixed_split  decoder=dot
  node_features=learned  seed=2
==================================================================
  T=138  N=3783  start_compute_mrr=109
  edge features: learned (raw dim 2)
Snapshot 0109 | MRR 0.2215
Snapshot 0110 | MRR 0.0480
Snapshot 0111 | MRR 0.3288
Snapshot 0112 | MRR 0.3130
Snapshot 0113 | MRR 0.3136
Snapshot 0114 | MRR 0.3143
Snapshot 0115 | MRR 0.4743
Snapshot 0116 | MRR 0.4711
Snapshot 0117 | MRR 0.6791
Snapshot 0118 | MRR 0.3651
Snapshot 0119 | MRR 0.4514
Snapshot 0120 | MRR 0.3621
Snapshot 0121 | MRR 0.2962
Snapshot 0122 | MRR 0.2993
Snapshot 0123 | MRR 0.2894
Snapshot 0124 | MRR 0.4538
Snapshot 0125 | MRR 0.4165
Snapshot 0126 | MRR 0.3593
Snapshot 0127 | MRR 0.2942
Snapshot 0128 | MRR 0.3102
Snapshot 0129 | MRR 0.2629
Snapshot 0130 | MRR 0.3592
Snapshot 0131 | MRR 0.3101
Snapshot 0132 | MRR 0.5067
Snapshot 0133 | MRR 0.3061
Snapshot 0134 | MRR 0.3262
Snapshot 0135 | MRR 0.3087
Snapshot 0136 | MRR 0.3221
Snapshot 0137 | MRR 0.3366

bitcoin-alpha  MRR = 0.348270  (29 eval snapshots)
saved -> results/roland_port/live_update_fixed_split/dot_node-learned_edge-learned/bitcoin-alpha/seed2/exp_20260813-164353_lp.json
