
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0161 | MRR 0.0944
Snapshot 0162 | MRR 0.1725
Snapshot 0163 | MRR 0.1588
Snapshot 0164 | MRR 0.1873
Snapshot 0165 | MRR 0.1680
Snapshot 0166 | MRR 0.2608
Snapshot 0167 | MRR 0.1006
Snapshot 0168 | MRR 0.0432
Snapshot 0169 | MRR 0.1006
Snapshot 0170 | MRR 0.2322
Snapshot 0171 | MRR 0.2556
Snapshot 0172 | MRR 0.2418
Snapshot 0173 | MRR 0.0937
Snapshot 0174 | MRR 0.1845
Snapshot 0175 | MRR 0.1306
Snapshot 0176 | MRR 0.0632
Snapshot 0177 | MRR 0.1967
Snapshot 0178 | MRR 0.1458
Snapshot 0179 | MRR 0.3310
Snapshot 0180 | MRR 0.1298
Snapshot 0181 | MRR 0.0472
Snapshot 0182 | MRR 0.1559
Snapshot 0183 | MRR 0.0709
Snapshot 0184 | MRR 0.2845
Snapshot 0185 | MRR 0.1876
Snapshot 0186 | MRR 0.1439
Snapshot 0187 | MRR 0.1879
Snapshot 0188 | MRR 0.2095
Snapshot 0189 | MRR 0.2619
Snapshot 0190 | MRR 0.1167
Snapshot 0191 | MRR 0.0506
Snapshot 0192 | MRR 0.2198
Snapshot 0193 | MRR 0.2978
Snapshot 0194 | MRR 0.0829
Snapshot 0195 | MRR 0.1782
Snapshot 0196 | MRR 0.0591
Snapshot 0197 | MRR 0.0824
Snapshot 0198 | MRR 0.2004
Snapshot 0199 | MRR 0.1074
Snapshot 0200 | MRR 0.2716
Snapshot 0201 | MRR 0.1722
Snapshot 0202 | MRR 0.2734
Snapshot 0203 | MRR 0.1916
Snapshot 0204 | MRR 0.1058
Snapshot 0205 | MRR 0.1694
Snapshot 0206 | MRR 0.2074
Snapshot 0207 | MRR 0.2147
Snapshot 0208 | MRR 0.1732
Snapshot 0209 | MRR 0.0471
Snapshot 0210 | MRR 0.0595
Snapshot 0211 | MRR 0.2360
Snapshot 0212 | MRR 0.1693
Snapshot 0213 | MRR 0.3387
Snapshot 0214 | MRR 0.0577
Snapshot 0215 | MRR 0.3984
Snapshot 0216 | MRR 0.3740
Snapshot 0217 | MRR 0.1936
Snapshot 0218 | MRR 0.0309
Snapshot 0219 | MRR 0.1328
Snapshot 0220 | MRR 0.1565
Snapshot 0221 | MRR 0.0776
Snapshot 0222 | MRR 0.2726
Snapshot 0223 | MRR 0.1587
Snapshot 0224 | MRR 0.3606
Snapshot 0225 | MRR 0.2319
Snapshot 0226 | MRR 0.0546
Snapshot 0227 | MRR 0.4841
Snapshot 0228 | MRR 0.0401
Snapshot 0229 | MRR 0.0325
Snapshot 0230 | MRR 0.1203
Snapshot 0231 | MRR 0.1131
Snapshot 0232 | MRR 0.3397
Snapshot 0233 | MRR 0.0805
Snapshot 0234 | MRR 0.2941
Snapshot 0235 | MRR 0.1980
Snapshot 0236 | MRR 0.2782
Snapshot 0237 | MRR 0.4216
Snapshot 0238 | MRR 0.4406
Snapshot 0239 | MRR 0.1383
Snapshot 0240 | MRR 0.1510
Snapshot 0241 | MRR 0.0673
Snapshot 0242 | MRR 0.3517
Snapshot 0243 | MRR 0.1683
Snapshot 0244 | MRR 0.1920
Snapshot 0245 | MRR 0.4081
Snapshot 0246 | MRR 0.2240
Snapshot 0247 | MRR 0.5250
Snapshot 0248 | MRR 0.3602
Snapshot 0249 | MRR 0.0725
Snapshot 0250 | MRR 0.0275
Snapshot 0251 | MRR 0.1528
Snapshot 0252 | MRR 0.2726
Snapshot 0253 | MRR 0.4222
Snapshot 0254 | MRR 0.2935
Snapshot 0255 | MRR 0.0033
