
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0961
Snapshot 0002 | MRR 0.2500
Snapshot 0003 | MRR 0.3377
Snapshot 0004 | MRR 0.3382
Snapshot 0005 | MRR 0.2492
Snapshot 0006 | MRR 0.5455
Snapshot 0007 | MRR 0.5050
Snapshot 0008 | MRR 0.2940
Snapshot 0009 | MRR 0.3833
Snapshot 0010 | MRR 0.2500
Snapshot 0011 | MRR 0.1054
Snapshot 0012 | MRR 0.2706
Snapshot 0013 | MRR 0.1864
Snapshot 0014 | MRR 0.1946
Snapshot 0015 | MRR 0.2358
Snapshot 0016 | MRR 0.3023
Snapshot 0017 | MRR 0.2275
Snapshot 0018 | MRR 0.2671
Snapshot 0019 | MRR 0.1032
Snapshot 0020 | MRR 0.1931
Snapshot 0021 | MRR 0.3850
Snapshot 0022 | MRR 0.2217
Snapshot 0023 | MRR 0.0776
Snapshot 0024 | MRR 0.0674
Snapshot 0025 | MRR 0.2288
Snapshot 0026 | MRR 0.1233
Snapshot 0027 | MRR 0.1121
Snapshot 0028 | MRR 0.0675
Snapshot 0029 | MRR 0.0856
Snapshot 0030 | MRR 0.0340
Snapshot 0031 | MRR 0.0435
Snapshot 0032 | MRR 0.0272
Snapshot 0033 | MRR 0.0637
Snapshot 0034 | MRR 0.1563
Snapshot 0035 | MRR 0.0637
Snapshot 0036 | MRR 0.1702
Snapshot 0037 | MRR 0.3153
Snapshot 0038 | MRR 0.1060
Snapshot 0039 | MRR 0.1044
Snapshot 0040 | MRR 0.1319
Snapshot 0041 | MRR 0.1892
Snapshot 0042 | MRR 0.2446
Snapshot 0043 | MRR 0.1396
Snapshot 0044 | MRR 0.1741
Snapshot 0045 | MRR 0.2301
Snapshot 0046 | MRR 0.4424
Snapshot 0047 | MRR 0.0785
Snapshot 0048 | MRR 0.3810
Snapshot 0049 | MRR 0.1739
Snapshot 0050 | MRR 0.2616
Snapshot 0051 | MRR 0.2915
Snapshot 0052 | MRR 0.2202
Snapshot 0053 | MRR 0.2689
Snapshot 0054 | MRR 0.2671
Snapshot 0055 | MRR 0.3359
Snapshot 0056 | MRR 0.1438
Snapshot 0057 | MRR 0.2009
Snapshot 0058 | MRR 0.2773
Snapshot 0059 | MRR 0.2545
Snapshot 0060 | MRR 0.1672
Snapshot 0061 | MRR 0.1242
Snapshot 0062 | MRR 0.2577
Snapshot 0063 | MRR 0.3002
Snapshot 0064 | MRR 0.1048
Snapshot 0065 | MRR 0.1331
Snapshot 0066 | MRR 0.2678
Snapshot 0067 | MRR 0.2444
Snapshot 0068 | MRR 0.2162
Snapshot 0069 | MRR 0.1689
Snapshot 0070 | MRR 0.1706
Snapshot 0071 | MRR 0.1665
Snapshot 0072 | MRR 0.1153
Snapshot 0073 | MRR 0.0930
Snapshot 0074 | MRR 0.1041
Snapshot 0075 | MRR 0.1176
Snapshot 0076 | MRR 0.1299
Snapshot 0077 | MRR 0.1091
Snapshot 0078 | MRR 0.0944
Snapshot 0079 | MRR 0.1300
Snapshot 0080 | MRR 0.2169
Snapshot 0081 | MRR 0.1338
Snapshot 0082 | MRR 0.1192
Snapshot 0083 | MRR 0.0833
Snapshot 0084 | MRR 0.0685
