
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0161 | MRR 0.0379
Snapshot 0162 | MRR 0.0858
Snapshot 0163 | MRR 0.1223
Snapshot 0164 | MRR 0.0071
Snapshot 0165 | MRR 0.0292
Snapshot 0166 | MRR 0.0761
Snapshot 0167 | MRR 0.0104
Snapshot 0168 | MRR 0.0391
Snapshot 0169 | MRR 0.1180
Snapshot 0170 | MRR 0.0120
Snapshot 0171 | MRR 0.0241
Snapshot 0172 | MRR 0.0435
Snapshot 0173 | MRR 0.0684
Snapshot 0174 | MRR 0.0302
Snapshot 0175 | MRR 0.0265
Snapshot 0176 | MRR 0.0752
Snapshot 0177 | MRR 0.1748
Snapshot 0178 | MRR 0.0594
Snapshot 0179 | MRR 0.1001
Snapshot 0180 | MRR 0.0177
Snapshot 0181 | MRR 0.0430
Snapshot 0182 | MRR 0.1457
Snapshot 0183 | MRR 0.1062
Snapshot 0184 | MRR 0.1168
Snapshot 0185 | MRR 0.0593
Snapshot 0186 | MRR 0.0725
Snapshot 0187 | MRR 0.0437
Snapshot 0188 | MRR 0.0884
Snapshot 0189 | MRR 0.1238
Snapshot 0190 | MRR 0.0600
Snapshot 0191 | MRR 0.0868
Snapshot 0192 | MRR 0.0661
Snapshot 0193 | MRR 0.0977
Snapshot 0194 | MRR 0.0470
Snapshot 0195 | MRR 0.1465
Snapshot 0196 | MRR 0.1138
Snapshot 0197 | MRR 0.0844
Snapshot 0198 | MRR 0.1325
Snapshot 0199 | MRR 0.1349
Snapshot 0200 | MRR 0.0341
Snapshot 0201 | MRR 0.0411
Snapshot 0202 | MRR 0.0141
Snapshot 0203 | MRR 0.0849
Snapshot 0204 | MRR 0.0223
Snapshot 0205 | MRR 0.1253
Snapshot 0206 | MRR 0.1219
Snapshot 0207 | MRR 0.0123
Snapshot 0208 | MRR 0.1308
Snapshot 0209 | MRR 0.1760
Snapshot 0210 | MRR 0.0999
Snapshot 0211 | MRR 0.1343
Snapshot 0212 | MRR 0.0197
Snapshot 0213 | MRR 0.0351
Snapshot 0214 | MRR 0.1706
Snapshot 0215 | MRR 0.1376
Snapshot 0216 | MRR 0.1717
Snapshot 0217 | MRR 0.0364
Snapshot 0218 | MRR 0.0342
Snapshot 0219 | MRR 0.0083
Snapshot 0220 | MRR 0.1641
Snapshot 0221 | MRR 0.0082
Snapshot 0222 | MRR 0.0588
Snapshot 0223 | MRR 0.4049
Snapshot 0224 | MRR 0.0534
Snapshot 0225 | MRR 0.0454
Snapshot 0226 | MRR 0.0341
Snapshot 0227 | MRR 0.1686
Snapshot 0228 | MRR 0.0151
Snapshot 0229 | MRR 0.0254
Snapshot 0230 | MRR 0.0442
Snapshot 0231 | MRR 0.2923
Snapshot 0232 | MRR 0.0544
Snapshot 0233 | MRR 0.0012
Snapshot 0234 | MRR 0.0082
Snapshot 0235 | MRR 0.0719
Snapshot 0236 | MRR 0.1311
Snapshot 0237 | MRR 0.0663
Snapshot 0238 | MRR 0.0472
Snapshot 0239 | MRR 0.1021
Snapshot 0240 | MRR 0.1469
Snapshot 0241 | MRR 0.0875
Snapshot 0242 | MRR 0.0280
Snapshot 0243 | MRR 0.0017
Snapshot 0244 | MRR 0.0450
Snapshot 0245 | MRR 0.0394
Snapshot 0246 | MRR 0.0728
Snapshot 0247 | MRR 0.0317
Snapshot 0248 | MRR 0.1979
Snapshot 0249 | MRR 0.0694
Snapshot 0250 | MRR 0.0334
Snapshot 0251 | MRR 0.0286
Snapshot 0252 | MRR 0.0563
Snapshot 0253 | MRR 0.6923
Snapshot 0254 | MRR 0.2244
Snapshot 0255 | MRR 0.0847
Snapshot 0256 | MRR 0.2564
Snapshot 0257 | MRR 0.0446
Snapshot 0258 | MRR 0.0294
Snapshot 0259 | MRR 0.0333
Snapshot 0260 | MRR 0.0140
Snapshot 0261 | MRR 0.0707
Snapshot 0262 | MRR 0.1667
Snapshot 0263 | MRR 0.1253
Snapshot 0264 | MRR 0.1061
Snapshot 0265 | MRR 0.0130
Snapshot 0266 | MRR 0.0536
Snapshot 0267 | MRR 0.0184
Snapshot 0268 | MRR 0.0602
Snapshot 0269 | MRR 0.0480
Snapshot 0270 | MRR 0.0325
Snapshot 0271 | MRR 0.2816
Snapshot 0272 | MRR 0.0428

bitcoin-otc  MRR = 0.086966  (272 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-otc/seed1/exp_20260814-204723_lp.json
