
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=4
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0075
Snapshot 0002 | MRR 0.1672
Snapshot 0003 | MRR 0.3370
Snapshot 0004 | MRR 0.0028
Snapshot 0005 | MRR 0.1673
Snapshot 0006 | MRR 0.0012
Snapshot 0007 | MRR 0.0196
Snapshot 0008 | MRR 0.1255
Snapshot 0009 | MRR 0.0933
Snapshot 0010 | MRR 0.0016
Snapshot 0011 | MRR 0.0733
Snapshot 0012 | MRR 0.0021
Snapshot 0013 | MRR 0.1639
Snapshot 0014 | MRR 0.1762
Snapshot 0015 | MRR 0.1077
Snapshot 0016 | MRR 0.2780
Snapshot 0017 | MRR 0.1817
Snapshot 0018 | MRR 0.1730
Snapshot 0019 | MRR 0.0514
Snapshot 0020 | MRR 0.1732
Snapshot 0021 | MRR 0.0439
Snapshot 0022 | MRR 0.0727
Snapshot 0023 | MRR 0.0847
Snapshot 0024 | MRR 0.0967
Snapshot 0025 | MRR 0.1034
Snapshot 0026 | MRR 0.0790
Snapshot 0027 | MRR 0.0661
Snapshot 0028 | MRR 0.0447
Snapshot 0029 | MRR 0.1010
Snapshot 0030 | MRR 0.0297
Snapshot 0031 | MRR 0.0312
Snapshot 0032 | MRR 0.0415
Snapshot 0033 | MRR 0.0194
Snapshot 0034 | MRR 0.0361
Snapshot 0035 | MRR 0.0054
Snapshot 0036 | MRR 0.1334
Snapshot 0037 | MRR 0.0768
Snapshot 0038 | MRR 0.0832
Snapshot 0039 | MRR 0.1424
Snapshot 0040 | MRR 0.1295
Snapshot 0041 | MRR 0.0841
Snapshot 0042 | MRR 0.0544
Snapshot 0043 | MRR 0.0956
Snapshot 0044 | MRR 0.0346
Snapshot 0045 | MRR 0.0654
Snapshot 0046 | MRR 0.1847
Snapshot 0047 | MRR 0.0169
Snapshot 0048 | MRR 0.0391
Snapshot 0049 | MRR 0.0756
Snapshot 0050 | MRR 0.1764
Snapshot 0051 | MRR 0.0910
Snapshot 0052 | MRR 0.0111
Snapshot 0053 | MRR 0.0954
Snapshot 0054 | MRR 0.1219
Snapshot 0055 | MRR 0.0688
Snapshot 0056 | MRR 0.0703
Snapshot 0057 | MRR 0.1747
Snapshot 0058 | MRR 0.1269
Snapshot 0059 | MRR 0.0691
Snapshot 0060 | MRR 0.2083
Snapshot 0061 | MRR 0.0336
Snapshot 0062 | MRR 0.1075
Snapshot 0063 | MRR 0.0059
Snapshot 0064 | MRR 0.1621
Snapshot 0065 | MRR 0.0427
Snapshot 0066 | MRR 0.0226
Snapshot 0067 | MRR 0.1390
Snapshot 0068 | MRR 0.2256
Snapshot 0069 | MRR 0.2057
Snapshot 0070 | MRR 0.0726
Snapshot 0071 | MRR 0.0360
Snapshot 0072 | MRR 0.1656
Snapshot 0073 | MRR 0.2230
Snapshot 0074 | MRR 0.0457
Snapshot 0075 | MRR 0.1122
Snapshot 0076 | MRR 0.0807
Snapshot 0077 | MRR 0.0372
Snapshot 0078 | MRR 0.0973
Snapshot 0079 | MRR 0.1212
Snapshot 0080 | MRR 0.0571
Snapshot 0081 | MRR 0.0688
Snapshot 0082 | MRR 0.0196
Snapshot 0083 | MRR 0.0628
Snapshot 0084 | MRR 0.0147
Snapshot 0085 | MRR 0.0344
Snapshot 0086 | MRR 0.1317
Snapshot 0087 | MRR 0.1758
Snapshot 0088 | MRR 0.1762
Snapshot 0089 | MRR 0.0654
Snapshot 0090 | MRR 0.0542
Snapshot 0091 | MRR 0.0452
Snapshot 0092 | MRR 0.1873
Snapshot 0093 | MRR 0.0384
Snapshot 0094 | MRR 0.0683
Snapshot 0095 | MRR 0.0970
Snapshot 0096 | MRR 0.0579
Snapshot 0097 | MRR 0.0457
Snapshot 0098 | MRR 0.0879
Snapshot 0099 | MRR 0.0189
Snapshot 0100 | MRR 0.0672
Snapshot 0101 | MRR 0.0657
Snapshot 0102 | MRR 0.0949
Snapshot 0103 | MRR 0.0501
Snapshot 0104 | MRR 0.0177
Snapshot 0105 | MRR 0.0664
Snapshot 0106 | MRR 0.0619
Snapshot 0107 | MRR 0.0873
Snapshot 0108 | MRR 0.0539
Snapshot 0109 | MRR 0.0719
Snapshot 0110 | MRR 0.0363
Snapshot 0111 | MRR 0.0806
Snapshot 0112 | MRR 0.0533
Snapshot 0113 | MRR 0.0230
Snapshot 0114 | MRR 0.0122
Snapshot 0115 | MRR 0.0925
Snapshot 0116 | MRR 0.0779
Snapshot 0117 | MRR 0.0729
Snapshot 0118 | MRR 0.0445
Snapshot 0119 | MRR 0.0148
Snapshot 0120 | MRR 0.0614
Snapshot 0121 | MRR 0.0514
Snapshot 0122 | MRR 0.0557
Snapshot 0123 | MRR 0.0506
Snapshot 0124 | MRR 0.0295
Snapshot 0125 | MRR 0.0415
Snapshot 0126 | MRR 0.0479
Snapshot 0127 | MRR 0.0589
Snapshot 0128 | MRR 0.0376
Snapshot 0129 | MRR 0.0361
Snapshot 0130 | MRR 0.0341
Snapshot 0131 | MRR 0.0869
