
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0161 | MRR 0.1408
Snapshot 0162 | MRR 0.0860
Snapshot 0163 | MRR 0.2266
Snapshot 0164 | MRR 0.2049
Snapshot 0165 | MRR 0.1886
Snapshot 0166 | MRR 0.0160
Snapshot 0167 | MRR 0.0143
Snapshot 0168 | MRR 0.2733
Snapshot 0169 | MRR 0.1406
Snapshot 0170 | MRR 0.2578
Snapshot 0171 | MRR 0.1745
Snapshot 0172 | MRR 0.1179
Snapshot 0173 | MRR 0.1162
Snapshot 0174 | MRR 0.0789
Snapshot 0175 | MRR 0.1206
Snapshot 0176 | MRR 0.2158
Snapshot 0177 | MRR 0.2135
Snapshot 0178 | MRR 0.0102
Snapshot 0179 | MRR 0.2352
Snapshot 0180 | MRR 0.2218
Snapshot 0181 | MRR 0.0629
Snapshot 0182 | MRR 0.0653
Snapshot 0183 | MRR 0.1920
Snapshot 0184 | MRR 0.1335
Snapshot 0185 | MRR 0.1113
Snapshot 0186 | MRR 0.0600
Snapshot 0187 | MRR 0.1974
Snapshot 0188 | MRR 0.1404
Snapshot 0189 | MRR 0.0264
Snapshot 0190 | MRR 0.1737
Snapshot 0191 | MRR 0.0780
Snapshot 0192 | MRR 0.1430
Snapshot 0193 | MRR 0.1645
Snapshot 0194 | MRR 0.1504
Snapshot 0195 | MRR 0.1171
Snapshot 0196 | MRR 0.2417
Snapshot 0197 | MRR 0.3758
Snapshot 0198 | MRR 0.1813
Snapshot 0199 | MRR 0.1638
Snapshot 0200 | MRR 0.1770
Snapshot 0201 | MRR 0.0622
Snapshot 0202 | MRR 0.1168
Snapshot 0203 | MRR 0.2447
Snapshot 0204 | MRR 0.1921
Snapshot 0205 | MRR 0.1852
Snapshot 0206 | MRR 0.1410
Snapshot 0207 | MRR 0.1997
Snapshot 0208 | MRR 0.1022
Snapshot 0209 | MRR 0.2327
Snapshot 0210 | MRR 0.1358
Snapshot 0211 | MRR 0.1711
Snapshot 0212 | MRR 0.3589
Snapshot 0213 | MRR 0.3900
Snapshot 0214 | MRR 0.1302
Snapshot 0215 | MRR 0.1888
Snapshot 0216 | MRR 0.2786
Snapshot 0217 | MRR 0.3555
Snapshot 0218 | MRR 0.2968
Snapshot 0219 | MRR 0.1897
Snapshot 0220 | MRR 0.1011
Snapshot 0221 | MRR 0.0887
Snapshot 0222 | MRR 0.1146
Snapshot 0223 | MRR 0.0142
Snapshot 0224 | MRR 0.0842
Snapshot 0225 | MRR 0.5018
Snapshot 0226 | MRR 1.0000
Snapshot 0227 | MRR 0.0447
Snapshot 0228 | MRR 0.3006
Snapshot 0229 | MRR 0.1671
Snapshot 0230 | MRR 0.3620
Snapshot 0231 | MRR 0.2342
Snapshot 0232 | MRR 0.5833
Snapshot 0233 | MRR 0.6673
Snapshot 0234 | MRR 0.2520
Snapshot 0235 | MRR 0.4113
Snapshot 0236 | MRR 0.1024
Snapshot 0237 | MRR 0.1333
Snapshot 0238 | MRR 0.1730
Snapshot 0239 | MRR 0.5714
Snapshot 0240 | MRR 0.3333
Snapshot 0241 | MRR 0.1672
Snapshot 0242 | MRR 0.0684
Snapshot 0243 | MRR 0.5000
Snapshot 0244 | MRR 0.4167
Snapshot 0245 | MRR 0.3333
Snapshot 0246 | MRR 0.2460
Snapshot 0247 | MRR 0.1000
Snapshot 0248 | MRR 0.5012
Snapshot 0249 | MRR 0.5008
Snapshot 0250 | MRR 0.0072
Snapshot 0251 | MRR 0.0954
Snapshot 0252 | MRR 0.1476
Snapshot 0253 | MRR 0.3405

bitcoin-alpha  MRR = 0.171486  (253 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/mlp_node-learned_edge-learned/bitcoin-alpha/seed0/exp_20260814-193714_lp.json
