
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=uci-message  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 29 -> 28
  T=28  N=1899  start_compute_mrr=0
  edge features: learned (raw dim 1)
Snapshot 0001 | MRR 0.0205
Snapshot 0002 | MRR 0.1174
Snapshot 0003 | MRR 0.1571
Snapshot 0004 | MRR 0.1035
Snapshot 0005 | MRR 0.0984
Snapshot 0006 | MRR 0.0412
Snapshot 0007 | MRR 0.0438
Snapshot 0008 | MRR 0.0625
Snapshot 0009 | MRR 0.0220
Snapshot 0010 | MRR 0.1121
Snapshot 0011 | MRR 0.2654
Snapshot 0012 | MRR 0.1443
Snapshot 0013 | MRR 0.1332
Snapshot 0014 | MRR 0.1708
Snapshot 0015 | MRR 0.1858
Snapshot 0016 | MRR 0.1530
Snapshot 0017 | MRR 0.2036
Snapshot 0018 | MRR 0.2207
Snapshot 0019 | MRR 0.1710
Snapshot 0020 | MRR 0.2568
Snapshot 0021 | MRR 0.1817
Snapshot 0022 | MRR 0.3589
Snapshot 0023 | MRR 0.2760
Snapshot 0024 | MRR 0.2932
Snapshot 0025 | MRR 0.1294
Snapshot 0026 | MRR 0.3876
Snapshot 0027 | MRR 0.0362

uci-message  MRR = 0.160980  (27 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/mlp_node-learned_edge-learned/uci-message/seed1/exp_20260814-112652_lp.json
