
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.5000
Snapshot 0002 | MRR 0.0010
Snapshot 0003 | MRR 0.5005
Snapshot 0004 | MRR 0.1259
Snapshot 0005 | MRR 0.5005
Snapshot 0006 | MRR 0.0519
Snapshot 0007 | MRR 0.0850
Snapshot 0008 | MRR 0.6000
Snapshot 0009 | MRR 0.0462
Snapshot 0010 | MRR 0.0011
Snapshot 0011 | MRR 0.0851
Snapshot 0012 | MRR 0.0630
Snapshot 0013 | MRR 0.0633
Snapshot 0014 | MRR 0.2049
Snapshot 0015 | MRR 0.2561
Snapshot 0016 | MRR 0.2455
Snapshot 0017 | MRR 0.1144
Snapshot 0018 | MRR 0.1554
Snapshot 0019 | MRR 0.2089
Snapshot 0020 | MRR 0.0373
Snapshot 0021 | MRR 0.1162
Snapshot 0022 | MRR 0.0609
Snapshot 0023 | MRR 0.0394
Snapshot 0024 | MRR 0.1213
Snapshot 0025 | MRR 0.0547
Snapshot 0026 | MRR 0.0981
Snapshot 0027 | MRR 0.1181
Snapshot 0028 | MRR 0.0302
Snapshot 0029 | MRR 0.0472
Snapshot 0030 | MRR 0.0593
Snapshot 0031 | MRR 0.0164
Snapshot 0032 | MRR 0.0570
Snapshot 0033 | MRR 0.0213
Snapshot 0034 | MRR 0.0870
Snapshot 0035 | MRR 0.0132
Snapshot 0036 | MRR 0.0763
Snapshot 0037 | MRR 0.2974
Snapshot 0038 | MRR 0.0896
Snapshot 0039 | MRR 0.1611
Snapshot 0040 | MRR 0.0384
Snapshot 0041 | MRR 0.0722
Snapshot 0042 | MRR 0.1222
Snapshot 0043 | MRR 0.0609
Snapshot 0044 | MRR 0.0939
Snapshot 0045 | MRR 0.1274
Snapshot 0046 | MRR 0.1677
Snapshot 0047 | MRR 0.0354
Snapshot 0048 | MRR 0.0789
Snapshot 0049 | MRR 0.0209
Snapshot 0050 | MRR 0.0184
Snapshot 0051 | MRR 0.1271
Snapshot 0052 | MRR 0.0046
Snapshot 0053 | MRR 0.0448
Snapshot 0054 | MRR 0.0505
Snapshot 0055 | MRR 0.0758
Snapshot 0056 | MRR 0.0552
Snapshot 0057 | MRR 0.0433
Snapshot 0058 | MRR 0.0547
Snapshot 0059 | MRR 0.1260
Snapshot 0060 | MRR 0.0970
Snapshot 0061 | MRR 0.1778
Snapshot 0062 | MRR 0.0100
Snapshot 0063 | MRR 0.0804
Snapshot 0064 | MRR 0.1657
Snapshot 0065 | MRR 0.0508
Snapshot 0066 | MRR 0.0353
Snapshot 0067 | MRR 0.0594
Snapshot 0068 | MRR 0.1875
Snapshot 0069 | MRR 0.1493
Snapshot 0070 | MRR 0.1066
Snapshot 0071 | MRR 0.0543
Snapshot 0072 | MRR 0.0708
Snapshot 0073 | MRR 0.2038
Snapshot 0074 | MRR 0.0709
Snapshot 0075 | MRR 0.0368
Snapshot 0076 | MRR 0.0382
Snapshot 0077 | MRR 0.0394
Snapshot 0078 | MRR 0.0238
Snapshot 0079 | MRR 0.0585
Snapshot 0080 | MRR 0.0651
Snapshot 0081 | MRR 0.0412
Snapshot 0082 | MRR 0.0201
Snapshot 0083 | MRR 0.1525
Snapshot 0084 | MRR 0.0278
Snapshot 0085 | MRR 0.1045
Snapshot 0086 | MRR 0.0398
Snapshot 0087 | MRR 0.0693
Snapshot 0088 | MRR 0.0575
Snapshot 0089 | MRR 0.0881
Snapshot 0090 | MRR 0.0456
Snapshot 0091 | MRR 0.0338
Snapshot 0092 | MRR 0.0461
Snapshot 0093 | MRR 0.0593
Snapshot 0094 | MRR 0.1365
Snapshot 0095 | MRR 0.0910
Snapshot 0096 | MRR 0.0759
Snapshot 0097 | MRR 0.0804
Snapshot 0098 | MRR 0.0572
Snapshot 0099 | MRR 0.0749
Snapshot 0100 | MRR 0.0339
Snapshot 0101 | MRR 0.0395
Snapshot 0102 | MRR 0.0881
Snapshot 0103 | MRR 0.0159
Snapshot 0104 | MRR 0.0437
Snapshot 0105 | MRR 0.0612
Snapshot 0106 | MRR 0.1743
Snapshot 0107 | MRR 0.0502
Snapshot 0108 | MRR 0.0824
Snapshot 0109 | MRR 0.0799
Snapshot 0110 | MRR 0.0652
Snapshot 0111 | MRR 0.0840
Snapshot 0112 | MRR 0.0604
Snapshot 0113 | MRR 0.0243
Snapshot 0114 | MRR 0.0454
Snapshot 0115 | MRR 0.0490
Snapshot 0116 | MRR 0.0797
Snapshot 0117 | MRR 0.0182
Snapshot 0118 | MRR 0.0615
Snapshot 0119 | MRR 0.0675
Snapshot 0120 | MRR 0.1747
Snapshot 0121 | MRR 0.0439
Snapshot 0122 | MRR 0.0332
Snapshot 0123 | MRR 0.0441
Snapshot 0124 | MRR 0.0296
Snapshot 0125 | MRR 0.0771
Snapshot 0126 | MRR 0.0594
Snapshot 0127 | MRR 0.0367
Snapshot 0128 | MRR 0.0356
Snapshot 0129 | MRR 0.0461
Snapshot 0130 | MRR 0.0625
Snapshot 0131 | MRR 0.0753
Snapshot 0132 | MRR 0.0223
Snapshot 0133 | MRR 0.0583
Snapshot 0134 | MRR 0.0362
Snapshot 0135 | MRR 0.0407
Snapshot 0136 | MRR 0.0824
Snapshot 0137 | MRR 0.0235
Snapshot 0138 | MRR 0.0945
Snapshot 0139 | MRR 0.0719
Snapshot 0140 | MRR 0.0880
Snapshot 0141 | MRR 0.0620
Snapshot 0142 | MRR 0.0855
Snapshot 0143 | MRR 0.0244
Snapshot 0144 | MRR 0.0350
Snapshot 0145 | MRR 0.0992
Snapshot 0146 | MRR 0.0559
Snapshot 0147 | MRR 0.0907
Snapshot 0148 | MRR 0.0325
Snapshot 0149 | MRR 0.0522
Snapshot 0150 | MRR 0.0235
Snapshot 0151 | MRR 0.0073
Snapshot 0152 | MRR 0.0807
Snapshot 0153 | MRR 0.0268
Snapshot 0154 | MRR 0.0962
Snapshot 0155 | MRR 0.0594
Snapshot 0156 | MRR 0.0674
Snapshot 0157 | MRR 0.1411
Snapshot 0158 | MRR 0.0602
Snapshot 0159 | MRR 0.0283
Snapshot 0160 | MRR 0.0474
Snapshot 0161 | MRR 0.0232
Snapshot 0162 | MRR 0.0817
Snapshot 0163 | MRR 0.1528
Snapshot 0164 | MRR 0.0695
Snapshot 0165 | MRR 0.0097
Snapshot 0166 | MRR 0.0481
Snapshot 0167 | MRR 0.0372
Snapshot 0168 | MRR 0.0861
Snapshot 0169 | MRR 0.1011
Snapshot 0170 | MRR 0.1324
Snapshot 0171 | MRR 0.1206
Snapshot 0172 | MRR 0.0737
Snapshot 0173 | MRR 0.0868
Snapshot 0174 | MRR 0.0307
Snapshot 0175 | MRR 0.0079
Snapshot 0176 | MRR 0.1138
Snapshot 0177 | MRR 0.0498
Snapshot 0178 | MRR 0.1367
Snapshot 0179 | MRR 0.0457
Snapshot 0180 | MRR 0.0238
Snapshot 0181 | MRR 0.0334
Snapshot 0182 | MRR 0.0922
Snapshot 0183 | MRR 0.0681
Snapshot 0184 | MRR 0.1970
Snapshot 0185 | MRR 0.0752
Snapshot 0186 | MRR 0.0781
Snapshot 0187 | MRR 0.0189
Snapshot 0188 | MRR 0.1198
Snapshot 0189 | MRR 0.0946
Snapshot 0190 | MRR 0.0993
Snapshot 0191 | MRR 0.1351
Snapshot 0192 | MRR 0.0280
Snapshot 0193 | MRR 0.0673
Snapshot 0194 | MRR 0.0100
Snapshot 0195 | MRR 0.1846
Snapshot 0196 | MRR 0.0703
Snapshot 0197 | MRR 0.0634
Snapshot 0198 | MRR 0.0871
Snapshot 0199 | MRR 0.0518
Snapshot 0200 | MRR 0.0872
Snapshot 0201 | MRR 0.0464
Snapshot 0202 | MRR 0.0809
Snapshot 0203 | MRR 0.0543
Snapshot 0204 | MRR 0.2196
Snapshot 0205 | MRR 0.0476
Snapshot 0206 | MRR 0.0113
Snapshot 0207 | MRR 0.0520
Snapshot 0208 | MRR 0.1271
Snapshot 0209 | MRR 0.0735
Snapshot 0210 | MRR 0.0435
Snapshot 0211 | MRR 0.1129
Snapshot 0212 | MRR 0.0446
Snapshot 0213 | MRR 0.0554
Snapshot 0214 | MRR 0.0707
Snapshot 0215 | MRR 0.0749
Snapshot 0216 | MRR 0.5011
Snapshot 0217 | MRR 0.1314
Snapshot 0218 | MRR 0.1123
Snapshot 0219 | MRR 0.0702
Snapshot 0220 | MRR 0.2616
Snapshot 0221 | MRR 0.0064
Snapshot 0222 | MRR 0.0499
Snapshot 0223 | MRR 0.0367
Snapshot 0224 | MRR 0.2207
Snapshot 0225 | MRR 0.0133
Snapshot 0226 | MRR 0.0099
Snapshot 0227 | MRR 0.1164
Snapshot 0228 | MRR 0.1571
Snapshot 0229 | MRR 0.0014
Snapshot 0230 | MRR 0.2989
Snapshot 0231 | MRR 0.1647
Snapshot 0232 | MRR 0.1142
Snapshot 0233 | MRR 0.1532
Snapshot 0234 | MRR 0.0020
Snapshot 0235 | MRR 0.3633
Snapshot 0236 | MRR 0.0101
Snapshot 0237 | MRR 0.0515
Snapshot 0238 | MRR 0.1211
Snapshot 0239 | MRR 0.0734
Snapshot 0240 | MRR 0.2087
Snapshot 0241 | MRR 0.0125
Snapshot 0242 | MRR 0.0250
Snapshot 0243 | MRR 0.0019
Snapshot 0244 | MRR 0.0160
Snapshot 0245 | MRR 0.0773
Snapshot 0246 | MRR 0.1282
Snapshot 0247 | MRR 0.0479
Snapshot 0248 | MRR 0.1675
Snapshot 0249 | MRR 0.0507
Snapshot 0250 | MRR 0.0543
Snapshot 0251 | MRR 0.0840
Snapshot 0252 | MRR 0.0369
Snapshot 0253 | MRR 0.0239
Snapshot 0254 | MRR 0.0469
Snapshot 0255 | MRR 0.0091
Snapshot 0256 | MRR 0.1537
Snapshot 0257 | MRR 0.0676
Snapshot 0258 | MRR 0.0833
Snapshot 0259 | MRR 0.0909
Snapshot 0260 | MRR 0.0135
Snapshot 0261 | MRR 0.1548
Snapshot 0262 | MRR 0.0261
Snapshot 0263 | MRR 0.2143
Snapshot 0264 | MRR 0.0842
Snapshot 0265 | MRR 0.0015
Snapshot 0266 | MRR 0.2500
Snapshot 0267 | MRR 0.3341
Snapshot 0268 | MRR 0.5175
Snapshot 0269 | MRR 0.0487
Snapshot 0270 | MRR 0.0405
Snapshot 0271 | MRR 0.0992
Snapshot 0272 | MRR 0.0043

bitcoin-otc  MRR = 0.088130  (272 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-otc/seed0/exp_20260814-203525_lp.json
