
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.1255
Snapshot 0002 | MRR 0.1672
Snapshot 0003 | MRR 0.0025
Snapshot 0004 | MRR 0.3342
Snapshot 0005 | MRR 0.4448
Snapshot 0006 | MRR 0.0010
Snapshot 0007 | MRR 0.0053
Snapshot 0008 | MRR 0.1352
Snapshot 0009 | MRR 0.0011
Snapshot 0010 | MRR 0.0674
Snapshot 0011 | MRR 0.0013
Snapshot 0012 | MRR 0.1811
Snapshot 0013 | MRR 0.1359
Snapshot 0014 | MRR 0.1086
Snapshot 0015 | MRR 0.0437
Snapshot 0016 | MRR 0.0649
Snapshot 0017 | MRR 0.1148
Snapshot 0018 | MRR 0.0213
Snapshot 0019 | MRR 0.1353
Snapshot 0020 | MRR 0.1959
Snapshot 0021 | MRR 0.0263
Snapshot 0022 | MRR 0.1068
Snapshot 0023 | MRR 0.1269
Snapshot 0024 | MRR 0.0687
Snapshot 0025 | MRR 0.0378
Snapshot 0026 | MRR 0.0651
Snapshot 0027 | MRR 0.0286
Snapshot 0028 | MRR 0.0526
Snapshot 0029 | MRR 0.0340
Snapshot 0030 | MRR 0.0164
Snapshot 0031 | MRR 0.0570
Snapshot 0032 | MRR 0.0143
Snapshot 0033 | MRR 0.0403
Snapshot 0034 | MRR 0.0371
Snapshot 0035 | MRR 0.0370
Snapshot 0036 | MRR 0.0725
Snapshot 0037 | MRR 0.1147
Snapshot 0038 | MRR 0.0266
Snapshot 0039 | MRR 0.0647
Snapshot 0040 | MRR 0.0511
Snapshot 0041 | MRR 0.0069
Snapshot 0042 | MRR 0.0631
Snapshot 0043 | MRR 0.0288
Snapshot 0044 | MRR 0.0596
Snapshot 0045 | MRR 0.0801
Snapshot 0046 | MRR 0.0806
Snapshot 0047 | MRR 0.0227
Snapshot 0048 | MRR 0.0071
Snapshot 0049 | MRR 0.1263
Snapshot 0050 | MRR 0.0670
Snapshot 0051 | MRR 0.0250
Snapshot 0052 | MRR 0.0446
Snapshot 0053 | MRR 0.0394
Snapshot 0054 | MRR 0.0147
Snapshot 0055 | MRR 0.0452
Snapshot 0056 | MRR 0.0242
Snapshot 0057 | MRR 0.1662
Snapshot 0058 | MRR 0.1137
Snapshot 0059 | MRR 0.0781
Snapshot 0060 | MRR 0.3859
Snapshot 0061 | MRR 0.0845
Snapshot 0062 | MRR 0.0206
Snapshot 0063 | MRR 0.0955
Snapshot 0064 | MRR 0.0461
Snapshot 0065 | MRR 0.0197
Snapshot 0066 | MRR 0.3043
Snapshot 0067 | MRR 0.0633
Snapshot 0068 | MRR 0.0787
Snapshot 0069 | MRR 0.0608
Snapshot 0070 | MRR 0.1039
Snapshot 0071 | MRR 0.0778
Snapshot 0072 | MRR 0.0665
Snapshot 0073 | MRR 0.0642
Snapshot 0074 | MRR 0.0801
Snapshot 0075 | MRR 0.0648
Snapshot 0076 | MRR 0.0516
Snapshot 0077 | MRR 0.0500
Snapshot 0078 | MRR 0.0401
Snapshot 0079 | MRR 0.0519
Snapshot 0080 | MRR 0.0081
Snapshot 0081 | MRR 0.0581
Snapshot 0082 | MRR 0.0321
Snapshot 0083 | MRR 0.0785
